,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1.0
11,1.0
12,1.0
13,4.0
14,2.0
15,3.0
16,8.0
17,7.0
18,12.0
19,11.0
20,12.0
21,12.0
22,40.0
23,28.0
24,34.0
25,43.0
26,26.0
27,38.0
28,42.0
29,50.0
30,44.0
31,49.0
32,35.0
33,46.0
34,48.0
35,32.0
36,41.0
37,44.0
38,46.0
39,43.0
40,43.0
41,39.0
42,36.0
43,47.0
44,25.0
45,38.0
46,46.0
47,36.0
48,36.0
49,28.0
50,45.0
51,24.0
52,32.0
53,32.0
54,36.0
55,44.0
56,30.0
57,18.0
58,51.0
59,42.0
60,16.0
61,13.0
62,20.0
63,32.0
64,29.0
65,21.0
66,26.0
67,31.0
68,27.0
69,16.0
70,26.0
71,23.0
72,24.0
73,24.0
74,19.0
75,24.0
76,12.0
77,21.0
78,15.0
79,13.0
80,18.0
81,14.0
82,8.0
83,11.0
84,19.0
85,15.0
86,15.0
87,16.0
88,13.0
89,12.0
90,10.0
91,18.0
92,6.0
93,9.0
94,11.0
95,11.0
96,16.0
97,6.0
98,9.0
