,0
0,0
1,0
2,3
3,2
4,2
5,2
6,0
7,2
8,2
9,3
10,5
11,5
12,5
13,6
14,6
15,6
16,14
17,11
18,14
19,23
20,21
21,20
22,28
23,36
24,32
25,25
26,29
27,26
28,31
29,29
30,29
31,27
32,27
33,18
34,21
35,17
36,17
37,11
38,17
39,11
40,12
41,8
42,7
43,10
44,12
45,7
46,14
47,12
48,15
49,5
50,9
51,3
52,6
53,3
54,5
55,0
56,7
57,6
58,7
59,3
60,6
61,1
62,3
63,1
64,2
65,2
66,1
67,0
68,1
69,1
70,0
71,1
72,2
73,1
74,2
75,2
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,2
93,0
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,0
117,0
118,0
