Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
1.0,15.0,12.0,8.0,19.0
3.0,10.0,9.0,8.0,29.0
8.0,21.0,20.0,8.0,31.0
8.0,22.0,18.0,7.0,34.0
4.0,14.0,15.0,6.0,27.0
4.0,14.0,10.0,8.0,21.0
4.0,21.0,23.0,14.0,25.0
5.0,13.0,19.0,8.0,27.0
6.0,8.0,17.0,8.0,37.0
6.0,7.0,21.0,7.0,40.0
4.0,9.0,19.0,6.0,26.0
5.0,16.0,18.0,10.0,44.0
5.0,17.0,15.0,10.0,31.0
10.0,19.0,24.0,11.0,25.0
6.0,14.0,16.0,10.0,30.0
5.0,12.0,17.0,10.0,35.0
7.0,19.0,19.0,13.0,32.0
2.0,15.0,24.0,8.0,45.0
6.0,11.0,14.0,12.0,30.0
9.0,9.0,16.0,19.0,50.0
7.0,5.0,16.0,10.0,36.0
15.0,12.0,20.0,11.0,38.0
3.0,14.0,22.0,11.0,45.0
9.0,19.0,23.0,15.0,45.0
13.0,17.0,23.0,10.0,36.0
5.0,22.0,22.0,16.0,41.0
9.0,15.0,19.0,10.0,50.0
7.0,23.0,31.0,18.0,47.0
16.0,25.0,23.0,16.0,56.0
8.0,19.0,34.0,21.0,49.0
12.0,17.0,34.0,19.0,48.0
7.0,29.0,43.0,13.0,63.0
8.0,22.0,50.0,17.0,62.0
12.0,36.0,42.0,16.0,84.0
12.0,29.0,54.0,18.0,65.0
16.0,24.0,48.0,14.0,74.0
12.0,31.0,46.0,21.0,61.0
17.0,29.0,38.0,18.0,82.0
10.0,35.0,39.0,25.0,90.0
14.0,48.0,57.0,35.0,86.0
19.0,44.0,42.0,43.0,93.0
9.0,39.0,63.0,33.0,101.0
22.0,38.0,62.0,33.0,117.0
28.0,52.0,61.0,31.0,114.0
30.0,68.0,76.0,47.0,142.0
31.0,67.0,82.0,39.0,182.0
25.0,78.0,92.0,57.0,160.0
30.0,91.0,92.0,51.0,214.0
33.0,97.0,123.0,53.0,197.0
31.0,119.0,142.0,82.0,234.0
48.0,119.0,158.0,77.0,265.0
51.0,144.0,169.0,106.0,300.0
41.0,141.0,195.0,112.0,346.0
72.0,142.0,227.0,117.0,421.0
62.0,181.0,218.0,124.0,453.0
86.0,219.0,298.0,134.0,460.0
105.0,238.0,318.0,163.0,560.0
99.0,289.0,379.0,211.0,678.0
108.0,355.0,438.0,241.0,695.0
125.0,338.0,502.0,254.0,901.0
149.0,444.0,564.0,263.0,1043.0
157.0,545.0,671.0,353.0,1204.0
188.0,581.0,751.0,394.0,1406.0
231.0,697.0,908.0,466.0,1707.0
256.0,875.0,1034.0,540.0,1980.0
264.0,988.0,1304.0,641.0,2316.0
308.0,1162.0,1612.0,822.0,2823.0
370.0,1433.0,1867.0,1016.0,3340.0
346.0,1810.0,2252.0,1206.0,4056.0
428.0,2107.0,2746.0,1525.0,5101.0
414.0,2555.0,3230.0,1808.0,6142.0
504.0,3132.0,3943.0,2195.0,7428.0
558.0,3665.0,4799.0,2788.0,9178.0
573.0,4481.0,5945.0,3409.0,11265.0
639.0,5471.0,7343.0,4243.0,14030.0
649.0,6671.0,8802.0,5222.0,17646.0
704.0,8168.0,10856.0,6516.0,22201.0
687.0,9627.0,13212.0,8345.0,27854.0
748.0,11586.0,16144.0,10219.0,34745.0
750.0,13628.0,19530.0,13192.0,43881.0
794.0,16220.0,23567.0,16825.0,55450.0
811.0,18689.0,28073.0,21674.0,70883.0
796.0,21509.0,33173.0,27483.0,88706.0
787.0,24259.0,38525.0,35400.0,111656.0
812.0,26954.0,44361.0,45154.0,141176.0
841.0,29251.0,50021.0,57230.0,176729.0
846.0,31800.0,55599.0,72660.0,219539.0
839.0,33588.0,60973.0,91893.0,268888.0
842.0,35465.0,65507.0,113640.0,326229.0
905.0,37471.0,69804.0,140886.0,386489.0
883.0,38831.0,72917.0,170583.0,450558.0
882.0,39672.0,76291.0,202339.0,516838.0
850.0,40639.0,78823.0,236427.0,578878.0
812.0,41219.0,80311.0,268463.0,636475.0
856.0,42175.0,81926.0,299651.0,684885.0
857.0,42368.0,83370.0,328040.0,728227.0
883.0,42393.0,84433.0,354166.0,763092.0
874.0,43155.0,85022.0,372209.0,790534.0
912.0,43167.0,85937.0,389502.0,813663.0
923.0,43476.0,86081.0,402438.0,829852.0
901.0,43288.0,86520.0,410730.0,842705.0
877.0,43937.0,87589.0,419756.0,852150.0
866.0,43599.0,87336.0,424978.0,861215.0
848.0,43845.0,87790.0,428601.0,866200.0
889.0,44029.0,87806.0,434224.0,871430.0
926.0,43926.0,88075.0,436596.0,874614.0
864.0,44145.0,88502.0,438143.0,878234.0
926.0,44050.0,88143.0,440471.0,880079.0
842.0,44376.0,88499.0,441005.0,882912.0
887.0,44520.0,88327.0,440381.0,883335.0
902.0,44090.0,89048.0,442271.0,885489.0
870.0,44677.0,88926.0,443878.0,886745.0
919.0,44641.0,89108.0,443842.0,888366.0
911.0,44453.0,89020.0,445184.0,891088.0
888.0,44648.0,89161.0,445653.0,891102.0
836.0,44668.0,88901.0,446381.0,892045.0
891.0,44524.0,89185.0,447358.0,893232.0
879.0,45109.0,88919.0,449232.0,896049.0
926.0,44835.0,89488.0,448866.0,895977.0
893.0,44925.0,89566.0,447238.0,896892.0
927.0,44973.0,89939.0,448321.0,898075.0
858.0,44956.0,90427.0,448473.0,897893.0
888.0,44862.0,90031.0,452032.0,900092.0
885.0,45318.0,89794.0,451515.0,899600.0
870.0,45122.0,90118.0,450816.0,901384.0
924.0,45036.0,90437.0,451544.0,903525.0
902.0,45009.0,90097.0,450677.0,904140.0
987.0,45442.0,90903.0,452274.0,904674.0
858.0,45025.0,90264.0,451792.0,904733.0
893.0,44930.0,90555.0,452992.0,905428.0
927.0,45427.0,90552.0,453226.0,907042.0
871.0,45433.0,90763.0,453600.0,908316.0
855.0,45874.0,91111.0,455105.0,906671.0
898.0,45192.0,91054.0,454312.0,908243.0
874.0,45258.0,91129.0,454726.0,908790.0
879.0,45235.0,91101.0,454664.0,909514.0
883.0,45602.0,91456.0,455891.0,910336.0
931.0,45632.0,91088.0,456120.0,911534.0
907.0,45515.0,91236.0,454987.0,911995.0
948.0,45408.0,91684.0,456486.0,913499.0
903.0,45707.0,91059.0,456869.0,912824.0
877.0,45698.0,91751.0,457024.0,913215.0
952.0,45321.0,91297.0,457924.0,915107.0
897.0,45596.0,91413.0,457140.0,915785.0
912.0,45991.0,91003.0,457520.0,915533.0
900.0,45721.0,91553.0,456677.0,915429.0
871.0,45340.0,91261.0,457421.0,915333.0
866.0,45618.0,92050.0,458832.0,915359.0
936.0,46119.0,92248.0,459055.0,916748.0
934.0,46043.0,91951.0,458429.0,918295.0
949.0,45727.0,91729.0,458964.0,916982.0
963.0,46199.0,91833.0,459138.0,917730.0
934.0,45916.0,91811.0,459742.0,918956.0
970.0,45691.0,91897.0,459564.0,917627.0
946.0,46048.0,92219.0,459842.0,918136.0
